!Year  days-1950     R_AU      Phi    Theta V(km/s)  NR2(#/cc) TR-.6(K)     E/W     N/S    N(#/cc)     T(K)
 1973  8403.5417  3.37323  -66.069   -1.551 336.117  17.865619   5680.0   2.176  -0.913   1.570099  11780.9
 1973  8403.6250  3.37379  -66.060   -1.551 336.079   8.646894   5095.0   2.206  -0.711   0.759670  10568.6
 1973  8403.6667  3.37407  -66.055   -1.551 341.693  25.783864   4125.1  -1.520   1.477   2.264857   8557.2
 1973  8404.0417  3.37659  -66.013   -1.550 341.759   5.065120   2100.5  -1.451  -1.297   0.444257   4359.2
 1973  8404.0833  3.37686  -66.008   -1.550 341.809   4.910246   4909.3  -1.590  -1.010   0.430602  10188.9
 1973  8404.1250  3.37714  -66.004   -1.550 340.283   2.924848   4597.9  -2.628  -0.040   0.256451   9543.1
 1973  8404.1667  3.37742  -65.999   -1.549 339.872   8.865527   4514.8  -1.837   0.907   0.777202   9371.1
 1973  8404.2083  3.37770  -65.994   -1.549 349.488   5.353130   4208.0   0.847   0.821   0.469208   8734.8
 1973  8404.2917  3.37826  -65.985   -1.549 344.547   3.693208   4759.7  -2.623   1.786   0.323607   9880.9
 1973  8404.3333  3.37854  -65.980   -1.549 342.616   1.774501   3565.9  -0.105   0.020   0.155460   7403.0
 1973  8404.3750  3.37882  -65.976   -1.549 349.434   2.156604   4020.5  -0.268  -0.367   0.188904   8347.2
 1973  8404.4167  3.37910  -65.971   -1.549 349.437   3.311955   4816.4  -0.251  -0.367   0.290057  10000.0
 1973  8404.5000  3.37965  -65.961   -1.549 349.448   1.126501   4815.9  -0.213  -0.368   0.098625  10000.1
 1973  8404.5417  3.37993  -65.957   -1.548 349.791   1.177489   4818.4   0.202  -0.231   0.103072  10005.7
 1973  8404.5833  3.38021  -65.952   -1.548 350.359   5.054070   4824.1   0.475  -0.320   0.442337  10018.0
 1973  8404.6250  3.38049  -65.947   -1.548 354.437   5.348015   2758.0   0.322  -0.440   0.467986   5727.8
 1973  8404.6667  3.38077  -65.943   -1.548 355.235   5.625198   2589.6   0.444  -0.637   0.492160   5378.2
 1973  8404.7083  3.38105  -65.938   -1.548 355.050   3.711397   4830.9   0.412  -0.627   0.324664  10033.7
 1973  8405.0417  3.38328  -65.901   -1.547 349.999   2.152043   4492.5   0.540  -0.608   0.188007   9334.5
 1973  8405.0833  3.38356  -65.896   -1.547 346.386   2.665117   4552.1   1.533  -0.554   0.232792   9458.9
 1973  8405.1250  3.38384  -65.891   -1.547 345.675   4.207040   4306.8   1.107   0.450   0.367415   8949.5
 1973  8405.1667  3.38412  -65.887   -1.547 344.433   2.432975   4138.7   1.337   0.086   0.212445   8600.6
 1973  8405.2083  3.38440  -65.882   -1.547 344.763   0.594653   3766.8   1.128  -0.124   0.051916   7828.2
 1973  8405.2500  3.38468  -65.877   -1.546 345.310   1.133918   4811.6   0.223  -0.096   0.098980   9999.9
 1973  8405.3333  3.38523  -65.868   -1.546 344.745   0.966164   4253.5   0.331  -0.123   0.084309   8840.9
 1973  8405.3750  3.38551  -65.863   -1.546 346.825   0.412472   5277.1   0.712   0.132   0.035987  10969.0
 1973  8405.4167  3.38579  -65.859   -1.546 346.907   1.573042   4672.1   1.099  -0.323   0.137221   9712.0
 1973  8405.4583  3.38607  -65.854   -1.546 347.040   1.179153   4567.1   1.212  -0.313   0.102844   9494.1
 1973  8405.5417  3.38662  -65.845   -1.546 355.537   5.053938   4633.0   4.458   0.015   0.440652   9632.1
 1973  8405.5833  3.38690  -65.840   -1.546 353.371   1.635746   4304.9   4.447   0.425   0.142597   8950.4
 1973  8405.6667  3.38746  -65.831   -1.545 352.922   4.361112   4195.0   0.580  -0.807   0.380057   8722.8
 1973  8405.7083  3.38774  -65.826   -1.545 353.608   2.057178   4304.0   0.650  -0.740   0.179247   8949.9
 1973  8405.7917  3.38830  -65.817   -1.545 353.604   3.066926   4808.5   0.645  -0.745   0.267141  10000.0
 1973  8405.8750  3.38885  -65.807   -1.545 351.465   3.461263   4416.1   0.620  -0.146   0.301390   9184.8
 1973  8405.9167  3.38913  -65.803   -1.545 347.792   2.754430   4927.4   0.888  -0.362   0.239803  10248.8
 1973  8405.9583  3.38941  -65.798   -1.545 347.770   2.396362   4307.1   1.021  -0.157   0.208595   8958.9
 1973  8406.0000  3.38969  -65.793   -1.544 347.220   2.185973   4602.0   0.969  -0.053   0.190250   9572.8
 1973  8406.0417  3.38997  -65.789   -1.544 347.048   2.459861   4072.9  -1.605  -0.909   0.214052   8472.6
 1973  8406.0833  3.39025  -65.784   -1.544 346.477   2.495734   4301.8   0.126  -0.996   0.217138   8949.4
